datetime,elapsed time,N,W,target_azimuth,control
2023-09-03 02:31:03.652533,97.96674370765686,35.924266,139.91215,80.79094289355506,17.1597764147391
2023-09-03 02:32:26.909247,181.22345423698425,35.924311,139.912446,5.060572667974304,3.197951718667639
2023-09-03 02:33:36.226279,250.5404872894287,35.924422,139.91243,221.6940148968987,4.748429343280463
2023-09-03 02:34:48.731560,323.0457696914673,35.924296,139.912337,139.47888618801554,8.693064710749582
2023-09-03 02:36:04.450651,398.7648591995239,35.924193,139.912466,46.794785275831934,8.847091283673137
2023-09-03 02:37:20.121051,474.43526005744934,35.924312,139.912596,7.200993397714269,-0.08303025670257291
2023-09-03 02:38:32.958979,547.2731864452362,35.924408,139.912603,276.11746936996445,8.10381006584663
2023-09-03 02:39:50.039733,624.3539409637451,35.924429,139.912326,184.13296782030716,4.132966873269368
2023-09-03 02:41:11.307713,705.6219213008881,35.924185,139.912334,91.37338570093026,7.122049118218001
2023-09-03 02:42:33.674212,787.9884197711945,35.924194,139.912613,275.9974458414242,-0.14366477545257794
2023-09-03 02:43:12.539741,826.8539497852325,35.92422,139.912135,289.5138572218026,9.991602211877364
